timestamp,lane_d_lat,lane_yaw,lane_curvature,lane_confidence,odom_linear_x,odom_angular_z,cmd_vel_linear_x,cmd_vel_angular_z
1770995831.990425,0.404036,-0.208907,-0.002811,1.000000,0.176051,0.030915,0.522002,-0.047541
1770995832.090390,0.403660,-0.212002,-0.002606,1.000000,0.196079,0.000256,0.523003,-0.049119
1770995832.190219,0.399499,-0.212079,-0.002606,1.000000,0.196263,0.000003,0.524003,-0.049732
1770995832.290291,0.405665,-0.216988,-0.002858,1.000000,0.196680,0.000000,0.525003,-0.051440
1770995832.390337,0.410746,-0.220687,-0.002991,1.000000,0.196680,0.000000,0.526004,-0.052703
1770995832.490413,0.406400,-0.220746,-0.002991,1.000000,0.196680,0.000000,0.527003,-0.053336
1770995832.590380,0.402060,-0.220805,-0.002991,1.000000,0.196680,0.000000,0.528003,-0.053972
1770995832.690282,0.397719,-0.220864,-0.002991,1.000000,0.196156,0.000000,0.529003,-0.054611
1770995832.790501,0.393339,-0.220923,-0.002991,1.000000,0.196156,0.000000,0.530004,-0.055258
1770995832.890447,0.389052,-0.220981,-0.002991,1.000000,0.198462,0.000000,0.531004,-0.055897
1770995832.990226,0.384669,-0.221040,-0.002991,1.000000,0.199846,0.030849,0.532002,-0.056551
1770995833.091408,0.380242,-0.224191,-0.002991,1.000000,0.200270,0.031157,0.533004,-0.058694
1770995833.190658,0.375761,-0.227361,-0.002991,1.000000,0.200275,0.031159,0.534002,-0.060862
1770995833.290580,0.371208,-0.230537,-0.002991,1.000000,0.200275,0.031159,0.535003,-0.063050
1770995833.391242,0.366585,-0.233716,-0.002991,1.000000,0.200275,0.031159,0.536004,-0.065258
1770995833.490656,0.361904,-0.236892,-0.002991,1.000000,0.200275,0.031159,0.537004,-0.067480
1770995833.590364,0.424803,-0.291109,-0.007041,1.000000,0.200275,0.031159,0.538003,-0.086504
1770995833.690328,0.448255,-0.303659,-0.007448,1.000000,0.204479,0.031159,0.539003,-0.090026
1770995833.790502,0.442041,-0.306929,-0.007448,1.000000,0.204479,0.031159,0.540003,-0.092503
1770995833.890369,0.487203,-0.319309,-0.007460,1.000000,0.206122,0.000247,0.541003,-0.093499
1770995833.991395,0.502409,-0.321715,-0.007297,1.000000,0.200717,0.000003,0.542014,-0.093121
1770995834.090374,0.515940,-0.323648,-0.007118,1.000000,0.210739,0.000000,0.543003,-0.092716
1770995834.190331,0.527566,-0.325251,-0.006930,1.000000,0.210739,0.000000,0.544003,-0.092369
1770995834.290415,0.520709,-0.325397,-0.006930,1.000000,0.210739,0.000000,0.545003,-0.093371
1770995834.390272,0.547864,-0.327736,-0.006553,1.000000,0.210739,0.000000,0.546002,-0.091676
1770995834.490108,0.555959,-0.328630,-0.006364,1.000000,0.210739,0.000000,0.547003,-0.091391
1770995834.590430,0.563197,-0.329391,-0.006179,1.000000,0.210739,0.000000,0.548003,-0.091139
1770995834.690441,0.569758,-0.330035,-0.006001,1.000000,0.222529,0.030040,0.549002,-0.090905
1770995834.790127,0.562411,-0.333174,-0.006001,1.000000,0.222529,0.030040,0.550002,-0.093417
1770995834.891726,0.554985,-0.336316,-0.006001,1.000000,0.214535,0.031680,0.551004,-0.095952
1770995834.990891,0.547765,-0.339615,-0.006001,1.000000,0.219704,0.031691,0.552005,-0.098557
1770995835.090176,0.540312,-0.342913,-0.006001,1.000000,0.222028,0.000264,0.553002,-0.101200
1770995835.190964,0.532699,-0.343072,-0.006001,1.000000,0.222028,0.000264,0.554004,-0.102312
1770995835.290380,0.525084,-0.343232,-0.006001,1.000000,0.228576,0.000001,0.555003,-0.103434
1770995835.390428,0.517244,-0.343369,-0.006001,1.000000,0.230149,0.000000,0.556004,-0.104578
1770995835.490166,0.509328,-0.343507,-0.006001,1.000000,0.230149,0.000000,0.557003,-0.105741
1770995835.590509,0.501386,-0.343646,-0.006001,1.000000,0.230611,0.000000,0.558003,-0.106915
1770995835.690442,0.493509,-0.343784,-0.006001,1.000000,0.230611,0.000000,0.559003,-0.108090
1770995835.790620,0.485568,-0.343922,-0.006001,1.000000,0.232224,0.000000,0.560007,-0.109283
1770995835.890353,0.477592,-0.344061,-0.006001,1.000000,0.230670,0.000000,0.561003,-0.110489
1770995835.990351,0.469946,-0.312864,-0.003919,1.000000,0.230603,0.000000,0.562003,-0.095724
1770995836.090734,0.462725,-0.312955,-0.003919,1.000000,0.230603,0.000000,0.563003,-0.096804
1770995836.190290,0.449989,-0.283705,-0.002070,1.000000,0.230594,0.000000,0.564002,-0.083586
1770995836.290295,0.429397,-0.256970,-0.000456,1.000000,0.230594,0.000000,0.565003,-0.072587
1770995836.390241,0.423477,-0.256980,-0.000456,1.000000,0.230594,0.000000,0.566003,-0.073451
1770995836.490431,0.411307,-0.248589,0.000017,1.000000,0.230594,0.000000,0.567004,-0.070792
1770995836.590154,0.394653,-0.238273,0.000552,1.000000,0.230594,0.000000,0.568002,-0.067714
1770995836.690384,0.389172,-0.238260,0.000552,1.000000,0.230594,0.000000,0.569003,-0.068521
1770995836.790605,0.379304,-0.234268,0.000740,1.000000,0.230692,0.000000,0.570003,-0.067844
1770995836.890349,0.366591,-0.228955,0.000959,1.000000,0.230574,0.000000,0.571002,-0.066859
1770995836.990498,0.361305,-0.228933,0.000959,1.000000,0.230574,0.000000,0.572003,-0.067648
1770995837.090255,0.353248,-0.226739,0.001037,1.000000,0.229650,0.000000,0.573003,-0.067680
1770995837.190222,0.345709,-0.224974,0.001092,1.000000,0.229370,0.000000,0.574002,-0.067871
